                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.5342,                0.42208,                0.93029,                0.93576,                0.94452,                0.96006,                0.86084,                0.53993,                0.41007,                0.92323,             0.00029706,             0.00029706,             0.00029706
                     36,                0.52815,                0.41666,                0.92304,                0.96598,                 0.9317,                0.95457,                0.87513,                0.51513,                0.39864,                0.90638,             0.00027906,             0.00027906,             0.00027906
                     37,                 0.5144,                 0.3959,                0.92354,                0.95964,                 0.9343,                0.96323,                0.88923,                  0.513,                0.38727,                0.91304,             0.00026106,             0.00026106,             0.00026106
                     38,                0.51431,                0.40093,                0.92452,                0.96365,                0.93599,                0.96346,                0.87462,                0.50907,                0.39304,                0.90642,             0.00024307,             0.00024307,             0.00024307
                     39,                0.49668,                0.37449,                 0.9146,                0.96483,                0.93073,                0.96598,                0.89077,                0.48999,                0.37434,                0.90297,             0.00022507,             0.00022507,             0.00022507
                     40,                0.48977,                0.38032,                0.91202,                0.94732,                0.93889,                0.96025,                0.88824,                0.49109,                0.37496,                0.90012,             0.00020707,             0.00020707,             0.00020707
                     41,                 0.4785,                0.35413,                0.89645,                0.96826,                0.91362,                0.96111,                0.88178,                0.49917,                0.39399,                0.90185,             0.00018907,             0.00018907,             0.00018907
                     42,                0.44861,                 0.3191,                0.87819,                 0.9582,                0.91226,                0.96485,                0.88815,                0.48787,                0.39658,                0.89443,             0.00017107,             0.00017107,             0.00017107
                     43,                 0.4278,                0.29647,                0.87688,                0.94705,                0.93899,                0.96689,                0.88404,                0.48909,                0.37737,                0.90127,             0.00015308,             0.00015308,             0.00015308
                     44,                0.41179,                0.29535,                0.87025,                0.96359,                0.94092,                 0.9665,                0.88961,                0.48533,                0.37578,                0.89792,             0.00013508,             0.00013508,             0.00013508
                     45,                0.40898,                 0.2861,                0.86673,                0.97062,                0.93495,                0.96563,                 0.8911,                0.48294,                0.37554,                0.89759,             0.00011708,             0.00011708,             0.00011708
                     46,                0.38973,                0.27516,                0.85984,                0.96819,                 0.9365,                0.96649,                0.90905,                0.44478,                 0.3444,                0.88268,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.37845,                0.26811,                0.85701,                0.96966,                0.93635,                0.96442,                0.90749,                0.44229,                 0.3562,                0.87468,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.37021,                0.25846,                0.85252,                0.97409,                0.93283,                0.96516,                0.90988,                0.43652,                0.34769,                0.87772,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.36611,                0.25479,                0.84687,                0.97386,                0.93338,                0.96796,                0.91391,                0.42375,                0.33547,                0.87337,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.34852,                0.24656,                0.84284,                0.97402,                0.93713,                0.96572,                0.91546,                0.42039,                 0.3426,                0.87182,             2.7088e-05,             2.7088e-05,             2.7088e-05
