                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.53502,                0.41994,                0.92871,                0.94758,                0.89565,                 0.9497,                0.85049,                0.55562,                0.44545,                0.92126,             0.00029706,             0.00029706,             0.00029706
                     36,                0.52368,                0.40715,                0.92239,                0.91756,                0.94605,                0.96588,                0.87039,                0.53866,                0.44053,                0.91991,             0.00027906,             0.00027906,             0.00027906
                     37,                0.51112,                 0.3933,                0.92154,                0.94991,                0.91413,                0.94603,                0.85055,                0.52991,                0.42662,                0.91216,             0.00026106,             0.00026106,             0.00026106
                     38,                 0.5109,                0.39354,                0.92039,                0.96924,                  0.901,                0.95266,                0.85863,                0.53206,                0.40768,                0.91315,             0.00024307,             0.00024307,             0.00024307
                     39,                0.51088,                0.39411,                0.91936,                0.96201,                0.90196,                 0.9647,                0.86131,                0.53036,                0.41505,                0.91433,             0.00022507,             0.00022507,             0.00022507
                     40,                0.48609,                0.37598,                0.90844,                0.96776,                0.90254,                0.95921,                0.87571,                0.50433,                0.40873,                0.89985,             0.00020707,             0.00020707,             0.00020707
                     41,                0.47213,                0.35083,                0.89422,                 0.9565,                0.90223,                0.94313,                0.85226,                 0.5264,                0.42294,                0.91652,             0.00018907,             0.00018907,             0.00018907
                     42,                0.44434,                0.31274,                 0.8783,                0.96279,                0.92432,                0.96223,                0.87108,                0.52739,                0.42022,                0.91722,             0.00017107,             0.00017107,             0.00017107
                     43,                0.42303,                0.30227,                 0.8765,                0.96736,                 0.8959,                0.95775,                0.86624,                0.51627,                 0.4129,                 0.9103,             0.00015308,             0.00015308,             0.00015308
                     44,                0.40696,                0.28979,                0.86652,                0.96787,                0.90194,                0.96426,                0.88152,                0.49244,                0.42789,                 0.8965,             0.00013508,             0.00013508,             0.00013508
                     45,                0.40791,                 0.2837,                0.86946,                0.94269,                0.95065,                0.96745,                0.89591,                0.49128,                0.41324,                0.89808,             0.00011708,             0.00011708,             0.00011708
                     46,                0.39931,                 0.2749,                0.86731,                0.94275,                0.94863,                0.96789,                0.90373,                0.48709,                0.41259,                  0.897,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.37511,                0.26431,                 0.8527,                0.95317,                0.93848,                0.96641,                0.89575,                0.47323,                0.41975,                0.89424,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.37187,                0.25711,                0.85393,                0.95701,                0.93991,                0.96862,                 0.9043,                0.47259,                0.39534,                0.89985,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.36184,                0.25485,                0.85952,                0.95153,                0.94463,                0.97019,                0.89719,                0.46376,                0.38959,                0.89554,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.35152,                0.24671,                 0.8462,                0.94612,                0.94698,                0.97008,                0.90197,                0.45822,                0.38206,                0.89323,             2.7088e-05,             2.7088e-05,             2.7088e-05
