                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.347,                 3.7257,                 1.4711,                0.48198,                0.45163,                0.32933,                0.19832,                 1.2354,                 2.2087,                 1.5288,             0.00029481,             0.00029481,             0.00029481
                      2,                 1.1206,                 1.5293,                  1.288,                0.57231,                0.33343,                0.38595,                0.26099,                 1.1614,                 1.8389,                 1.4404,             0.00058597,             0.00058597,             0.00058597
                      3,                 1.1124,                 1.3586,                 1.2748,                0.53871,                0.38123,                0.31327,                0.19986,                 1.3502,                 2.6109,                 1.5946,             0.00086514,             0.00086514,             0.00086514
                      4,                 1.1062,                  1.301,                 1.2555,                0.44195,                0.38416,                0.32213,                0.18672,                 1.3879,                 1.7896,                 1.5458,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.0747,                 1.2143,                 1.2487,                0.30626,                0.45285,                 0.4234,                0.27926,                 1.2322,                 1.5388,                 1.3857,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.0516,                 1.1537,                 1.2327,                0.57551,                0.59144,                0.56041,                0.35325,                 1.0989,                  1.275,                 1.3215,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.0206,                 1.0886,                 1.2014,                0.59949,                0.53852,                0.52858,                0.36565,                 1.0514,                 1.1817,                 1.3382,             0.00080101,             0.00080101,             0.00080101
                      8,                0.97676,                 1.0137,                 1.1667,                0.72875,                0.61135,                0.66211,                0.47808,                0.97075,                 1.0204,                 1.2373,             0.00078301,             0.00078301,             0.00078301
                      9,                0.93478,                0.94216,                  1.139,                 0.6483,                 0.6901,                0.64528,                0.45188,                 1.0247,                 1.1987,                 1.3252,             0.00076501,             0.00076501,             0.00076501
                     10,                 0.9146,                0.91156,                 1.1389,                0.72441,                0.67531,                0.72374,                0.53539,                0.97042,                0.98697,                 1.2183,             0.00074702,             0.00074702,             0.00074702
                     11,                0.87405,                0.87381,                 1.1114,                0.71677,                0.68235,                0.71455,                0.53703,                0.92126,                0.91849,                 1.1963,             0.00072902,             0.00072902,             0.00072902
                     12,                0.84994,                0.82318,                 1.0984,                0.73012,                0.69627,                0.75378,                0.53582,                0.89505,                0.89228,                 1.1973,             0.00071102,             0.00071102,             0.00071102
