                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                0.84633,                0.79508,                 1.0927,                 0.8361,                0.64512,                0.73528,                0.54237,                0.92349,                0.86477,                 1.1665,             0.00069302,             0.00069302,             0.00069302
                     14,                0.82095,                0.80351,                   1.09,                0.75279,                0.65628,                0.71356,                0.53862,                 0.8836,                0.92066,                 1.1489,             0.00067502,             0.00067502,             0.00067502
                     15,                0.80403,                0.76042,                 1.0669,                0.86925,                0.66078,                0.78188,                  0.598,                0.82758,                0.74995,                 1.1205,             0.00065703,             0.00065703,             0.00065703
                     16,                0.80364,                0.73345,                 1.0654,                0.80887,                0.71321,                 0.7937,                0.60104,                0.85216,                0.72839,                 1.1416,             0.00063903,             0.00063903,             0.00063903
                     17,                0.76168,                0.69404,                 1.0461,                0.82087,                0.75416,                0.83019,                0.62883,                0.80526,                0.70146,                 1.1071,             0.00062103,             0.00062103,             0.00062103
                     18,                0.74923,                0.66786,                  1.034,                0.87322,                0.75497,                0.85053,                0.66459,                0.78398,                0.65638,                 1.0985,             0.00060303,             0.00060303,             0.00060303
                     19,                 0.7473,                0.65195,                  1.038,                0.89891,                0.76892,                0.84014,                0.66328,                0.75636,                 0.6069,                 1.0772,             0.00058503,             0.00058503,             0.00058503
                     20,                0.71408,                0.62907,                 1.0189,                0.84855,                0.77669,                0.86514,                0.69423,                0.74371,                0.63154,                 1.0592,             0.00056703,             0.00056703,             0.00056703
                     21,                0.70719,                0.61926,                  1.009,                 0.8708,                 0.7453,                0.82328,                0.65872,                0.72604,                0.62684,                 1.0466,             0.00054904,             0.00054904,             0.00054904
                     22,                0.69437,                0.58948,                 1.0069,                0.81858,                0.84554,                0.89009,                0.71645,                0.70582,                0.59147,                 1.0349,             0.00053104,             0.00053104,             0.00053104
                     23,                0.68422,                0.58871,                  1.011,                0.84116,                0.86579,                0.89548,                0.73702,                0.69963,                0.59579,                 1.0287,             0.00051304,             0.00051304,             0.00051304
                     24,                0.65814,                 0.5621,                0.98556,                0.88742,                0.88976,                0.92045,                0.73739,                0.67818,                0.54536,                 1.0184,             0.00049504,             0.00049504,             0.00049504
                     25,                0.64341,                 0.5443,                0.98371,                0.88358,                0.83215,                0.90636,                 0.7574,                0.64879,                0.58404,                 1.0063,             0.00047704,             0.00047704,             0.00047704
                     26,                0.63514,                0.53877,                0.97514,                0.86904,                0.79678,                0.89355,                0.73568,                0.67596,                  0.569,                 1.0243,             0.00045904,             0.00045904,             0.00045904
                     27,                0.62075,                0.52328,                0.97575,                 0.9044,                0.87693,                0.91979,                0.75967,                 0.6548,                0.52172,                  1.007,             0.00044105,             0.00044105,             0.00044105
                     28,                0.61049,                0.50673,                0.97046,                0.89997,                0.89345,                0.91604,                0.74871,                0.63136,                0.53658,                      1,             0.00042305,             0.00042305,             0.00042305
                     29,                0.60975,                0.49842,                0.96439,                0.91429,                0.89922,                0.93621,                0.78573,                0.61177,                 0.4952,                 0.9802,             0.00040505,             0.00040505,             0.00040505
                     30,                0.60548,                0.49733,                0.95912,                0.90763,                0.90601,                0.91746,                0.77371,                 0.5945,                0.49638,                0.98231,             0.00038705,             0.00038705,             0.00038705
                     31,                0.58994,                0.48265,                 0.9622,                0.93473,                0.89505,                0.93374,                0.80715,                0.59255,                0.47939,                0.96897,             0.00036905,             0.00036905,             0.00036905
                     32,                0.55793,                0.44299,                0.94199,                0.91909,                0.89636,                0.93414,                0.79874,                   0.59,                0.49185,                0.96356,             0.00035106,             0.00035106,             0.00035106
                     33,                0.57261,                0.45065,                0.94031,                  0.941,                 0.8964,                 0.9357,                0.78613,                0.57945,                0.47501,                0.97716,             0.00033306,             0.00033306,             0.00033306
                     34,                0.56717,                0.44391,                0.94921,                0.95149,                0.88629,                0.94063,                0.83227,                0.56477,                  0.464,                 0.9624,             0.00031506,             0.00031506,             0.00031506
                     35,                0.52916,                0.41263,                0.93082,                 0.9419,                0.89227,                0.93121,                 0.8271,                0.54659,                0.45405,                0.95816,             0.00029706,             0.00029706,             0.00029706
                     36,                 0.5305,                0.41433,                0.92497,                0.92872,                 0.9065,                0.94202,                0.83898,                0.55074,                0.45901,                0.95527,             0.00027906,             0.00027906,             0.00027906
                     37,                0.52964,                0.40634,                0.93127,                0.95339,                0.88246,                0.93712,                0.83096,                0.53756,                0.47327,                0.94506,             0.00026106,             0.00026106,             0.00026106
                     38,                0.51521,                0.39439,                0.92281,                0.94061,                0.89016,                0.94068,                0.85078,                0.53031,                0.44208,                0.94594,             0.00024307,             0.00024307,             0.00024307
                     39,                0.50734,                0.38977,                0.92183,                0.95722,                 0.8869,                0.94378,                0.84493,                0.52316,                0.44442,                0.94298,             0.00022507,             0.00022507,             0.00022507
                     40,                0.49428,                0.38131,                0.91309,                0.95744,                0.89026,                 0.9439,                0.85573,                0.50542,                0.42423,                0.93207,             0.00020707,             0.00020707,             0.00020707
                     41,                0.48884,                0.35039,                0.89937,                0.96314,                0.88599,                0.94777,                0.85869,                0.51507,                0.42019,                0.93522,             0.00018907,             0.00018907,             0.00018907
                     42,                0.45226,                0.32238,                0.89051,                0.96402,                0.89737,                 0.9474,                0.85879,                0.51036,                0.41989,                0.93799,             0.00017107,             0.00017107,             0.00017107
                     43,                0.43235,                0.29841,                0.87857,                0.96186,                0.90272,                0.94357,                0.86249,                 0.4968,                0.42395,                0.92783,             0.00015308,             0.00015308,             0.00015308
                     44,                0.41833,                0.29146,                0.87033,                0.96424,                0.90454,                 0.9517,                0.87097,                 0.4837,                0.42233,                0.92179,             0.00013508,             0.00013508,             0.00013508
                     45,                0.41196,                0.28976,                0.87121,                0.95988,                0.89859,                0.94898,                0.87734,                0.47693,                0.41217,                 0.9156,             0.00011708,             0.00011708,             0.00011708
                     46,                0.40258,                0.27662,                0.86612,                0.95956,                0.89883,                0.95042,                0.87389,                0.46035,                0.40126,                0.91192,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.39459,                0.27596,                0.86473,                0.95781,                0.91605,                0.95024,                0.88109,                0.45441,                0.39047,                0.90986,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.38407,                0.26559,                0.85865,                0.95459,                0.91342,                0.95081,                0.87523,                0.44725,                0.39326,                0.90575,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                 0.3699,                0.25834,                0.85576,                0.95799,                0.91064,                0.94786,                0.89042,                0.44247,                0.39464,                0.90504,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.36499,                0.25343,                0.85132,                0.95944,                0.90559,                0.94877,                0.89049,                0.43974,                0.39366,                0.90447,             2.7088e-05,             2.7088e-05,             2.7088e-05
