                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3466,                 3.6672,                  1.475,                0.38826,                0.58953,                0.38007,                0.26219,                  1.239,                 2.1708,                 1.3861,             0.00029481,             0.00029481,             0.00029481
                      2,                 1.1136,                 1.4823,                 1.2712,                0.34512,                0.48744,                0.38078,                 0.2426,                  1.306,                 1.7066,                 1.4854,             0.00058597,             0.00058597,             0.00058597
                      3,                 1.0714,                 1.3154,                 1.2504,                 0.3649,                0.47235,                0.34291,                0.21939,                 1.3192,                 2.0831,                 1.4528,             0.00086514,             0.00086514,             0.00086514
                      4,                 1.0824,                 1.2485,                 1.2446,                0.31385,                0.28912,                0.26449,                0.15972,                 1.3846,                 1.9508,                 1.5003,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.0543,                 1.1679,                  1.231,                0.53725,                0.55593,                0.57221,                0.39541,                 1.1525,                  1.467,                 1.3399,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.0417,                 1.1539,                 1.2231,                0.69131,                0.65061,                0.61282,                0.40637,                 1.1004,                 1.3522,                 1.3276,             0.00081901,             0.00081901,             0.00081901
                      7,                   0.99,                 1.0528,                 1.1762,                0.71681,                0.56897,                0.61474,                0.41636,                 1.0899,                 1.1349,                 1.2748,             0.00080101,             0.00080101,             0.00080101
                      8,                0.97173,                 1.0136,                 1.1631,                0.67687,                0.55254,                0.59172,                0.41545,                0.99656,                 1.0026,                 1.1912,             0.00078301,             0.00078301,             0.00078301
                      9,                0.95203,                 0.9494,                  1.156,                0.65312,                0.70704,                0.71059,                0.50372,                0.97201,                 1.1443,                  1.186,             0.00076501,             0.00076501,             0.00076501
                     10,                 0.9424,                0.93545,                 1.1479,                0.65001,                 0.7225,                0.70804,                0.51984,                 1.0006,                0.92629,                 1.1823,             0.00074702,             0.00074702,             0.00074702
                     11,                0.87582,                0.85965,                 1.1097,                0.78951,                 0.7349,                0.78196,                0.58714,                0.89662,                0.83973,                 1.1196,             0.00072902,             0.00072902,             0.00072902
                     12,                0.85458,                0.82951,                 1.0887,                0.74063,                0.72523,                0.75453,                0.54327,                0.92966,                0.89351,                 1.1714,             0.00071102,             0.00071102,             0.00071102
                     13,                0.83832,                0.79811,                 1.0801,                0.75971,                0.75575,                0.78484,                 0.6147,                0.88192,                0.81597,                  1.138,             0.00069302,             0.00069302,             0.00069302
                     14,                0.84642,                0.81194,                 1.1066,                0.73775,                 0.8406,                0.83975,                0.65114,                0.87219,                  0.721,                 1.1227,             0.00067502,             0.00067502,             0.00067502
                     15,                0.80384,                0.75372,                 1.0658,                0.83196,                0.77175,                0.83977,                0.65892,                0.82092,                0.70997,                 1.0669,             0.00065703,             0.00065703,             0.00065703
                     16,                0.79422,                0.73016,                  1.057,                0.86977,                 0.8072,                0.86548,                0.67777,                0.81511,                0.68447,                  1.077,             0.00063903,             0.00063903,             0.00063903
                     17,                0.76402,                0.69174,                 1.0371,                0.84367,                0.80754,                0.85979,                0.69108,                0.79721,                 0.6435,                 1.0563,             0.00062103,             0.00062103,             0.00062103
                     18,                 0.7524,                0.67362,                   1.03,                0.83075,                 0.8389,                0.89059,                0.72673,                0.78083,                0.68331,                  1.047,             0.00060303,             0.00060303,             0.00060303
                     19,                0.73953,                0.63801,                 1.0242,                0.83843,                0.83534,                0.89699,                0.71094,                0.75426,                0.61972,                 1.0336,             0.00058503,             0.00058503,             0.00058503
                     20,                0.71239,                0.62174,                 1.0128,                0.88209,                0.87159,                0.91167,                0.75593,                0.72279,                0.60886,                 1.0016,             0.00056703,             0.00056703,             0.00056703
                     21,                0.69188,                0.60939,                 1.0004,                0.87976,                0.87355,                0.93293,                0.77892,                0.70047,                0.56021,                 0.9943,             0.00054904,             0.00054904,             0.00054904
                     22,                0.68154,                0.57988,                 1.0017,                0.93547,                0.88584,                0.94461,                0.80593,                0.69774,                0.52167,                0.98941,             0.00053104,             0.00053104,             0.00053104
                     23,                0.69069,                0.57771,                0.99958,                0.90427,                0.92239,                0.94089,                0.78926,                0.70046,                0.52875,                0.99137,             0.00051304,             0.00051304,             0.00051304
                     24,                0.65983,                0.56414,                0.98662,                0.89745,                0.91149,                 0.9402,                0.79418,                0.68109,                0.53739,                0.99071,             0.00049504,             0.00049504,             0.00049504
                     25,                0.65959,                0.55224,                0.98496,                 0.9357,                0.88494,                0.94325,                0.79898,                0.68514,                0.52478,                0.98278,             0.00047704,             0.00047704,             0.00047704
                     26,                0.63444,                0.53404,                0.97512,                0.90202,                0.90921,                0.94964,                0.82626,                0.64573,                0.50281,                 0.9703,             0.00045904,             0.00045904,             0.00045904
