                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3565,                 3.7532,                 1.4558,                0.47001,                0.46666,                0.36137,                0.25457,                 1.1358,                 2.1468,                 1.3554,             0.00029481,             0.00029481,             0.00029481
                      2,                 1.1422,                 1.5129,                 1.2772,                 0.4212,                 0.4838,                0.41225,                0.26626,                  1.132,                 2.4351,                 1.3828,             0.00058597,             0.00058597,             0.00058597
                      3,                 1.0904,                 1.2976,                  1.233,                0.34294,                0.58442,                 0.3817,                0.24386,                 1.1255,                  2.701,                 1.3823,             0.00086514,             0.00086514,             0.00086514
                      4,                 1.1056,                 1.2535,                 1.2437,                0.62273,                0.37781,                0.41823,                0.24991,                 1.2093,                 1.5838,                 1.4285,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.0516,                 1.1665,                 1.2064,                0.56654,                0.49593,                0.56899,                0.37493,                 1.1172,                 1.2358,                 1.3169,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.0548,                 1.1035,                 1.2013,                0.60918,                0.47001,                0.51193,                0.33383,                 1.0541,                 1.3164,                 1.2738,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.0116,                 1.0581,                 1.1794,                0.65017,                0.65953,                0.65241,                 0.4612,                 1.0409,                 1.0808,                 1.2328,             0.00080101,             0.00080101,             0.00080101
                      8,                0.96383,                0.96495,                 1.1405,                0.72965,                0.66292,                0.70568,                 0.4998,                  0.967,                 1.0327,                 1.1863,             0.00078301,             0.00078301,             0.00078301
                      9,                0.92707,                0.94202,                 1.1309,                 0.5929,                0.60283,                 0.6393,                0.45241,                0.93327,                 0.8933,                 1.1579,             0.00076501,             0.00076501,             0.00076501
                     10,                0.93954,                0.93415,                 1.1376,                0.68888,                0.71833,                0.74392,                0.54739,                0.89755,                0.87347,                 1.1453,             0.00074702,             0.00074702,             0.00074702
                     11,                0.86493,                0.84959,                 1.0919,                0.71857,                0.69606,                0.74738,                0.51627,                0.87912,                0.86805,                 1.1377,             0.00072902,             0.00072902,             0.00072902
